Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Примаченко,Наталія,Андріївна,Жіноча,29-05-1960,Підприємець,місто Кременець,"парк Матроський узвіз, буд. 499 кв. 457, Пирятин, 89771",090 161 96 21,eshukhevych@example.com
Габелко,Мирон,Олександрович,Чоловіча,10-07-1973,Науковець,село Чернігів,"набережна 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 40 кв. 8, Краматорськ, 26793",223-48-48,tfesenko@example.com
Єрченко,Василина,Дмитрівна,Жіноча,10-03-1988,Футболіст,селище Роздільна,"шосе Офіцерська, буд. 25 кв. 97, Василівка, 41547",017 934-95-65,vbatih@example.net
Кириленко,Оксенія,Дмитрівна,Жіноча,23-04-1948,Промисловець,хутір Сіверськ,"проспект Елеваторна, буд. 37 кв. 9, Ірпінь, 96234",+380 (04) 825-71-67,shchyrytsiadanylo@example.net
Перебийніс,Сніжана,Ігорівна,Жіноча,08-10-1961,Менеджер,селище Скадовськ,"провулок Теплична, буд. 22 кв. 583, Радомишль, 60878",611-25-55,levko08@example.org
Лаба,Юстина,Олегівна,Жіноча,07-09-1967,Бухгалтер,село Сарни,"набережна Соляний 5-й, буд. 9, Чорноморськ, 30520",+380 (03) 161-61-97,parmenbabak@example.net
Лубенець,Ярослав,Андрійович,Чоловіча,17-06-1993,Бібліограф,хутір Жашків,"площа Кримський, буд. 59 кв. 628, Коростень, 94799",827 33 12,milenashvedchenko@example.com
Єщенко,Костянтин,Олександрович,Чоловіча,23-08-1948,Історик,селище Глиняни,"парк Деволанівська, буд. 0 кв. 69, Болехів, 55550",+380 63 650 64 79,priskavasylenko@example.org
Засенко,Емілія,Дмитрівна,Жіноча,30-08-1955,Кур'єр,місто Федорівка,"парк Лінія 39-та, буд. 851, Куп'янськ, 14310",+380 85 960-31-97,vhaievskyi@example.org
Аврамчук,Артем,Ігорович,Чоловіча,08-05-1955,Мікробіолог,місто Дунаївці,"узвіз Обліпихова, буд. 5, Корсунь-Шевченківський, 97108",+380 (75) 614-53-30,onysym73@example.org
Чуприна,Григорій,Олександрович,Чоловіча,21-08-1941,Кур'єр,село Чоп,"сквер Незамаївська, буд. 783, Кілія, 86381",053 115-96-99,levkovashchuk@example.net
Литвиненко,Франц,Васильович,Чоловіча,09-03-1959,Клавішник,селище Рогатин,"площа Олега Андрійця, буд. 8, Сколе, 99808",726-94-58,oleksa07@example.org
Ґерета,Ярина,Сергіївна,Жіноча,08-03-1996,Геолог,село Немирів,"узвіз Цегельнозаводська, буд. 06 кв. 94, Лисичанськ, 99531",+380 85 260-44-31,serhiisymonenko@example.net
Щербань,Данна,Василівна,Жіноча,10-07-2001,Каскадер,хутір Донецьк,"парк Миколи Леонтовича, буд. 35 кв. 91, Баранівка, 06772",+380 (53) 451-31-45,adamchuktaras@example.com
Шаповал,Орина,Сергіївна,Жіноча,13-12-1969,Співак,місто Коростень,"набережна Французький, буд. 716 кв. 8, Радивилів, 25429",+380 55 931 19 97,stefan32@example.net
Приймак,Роксолана,Арсенівна,Жіноча,19-04-1964,Каскадер,селище Долина,"парк Острозька, буд. 022 кв. 494, Новомиргород, 45427",009 456 53 95,havrylivvalerii@example.org
Данькевич,Розалія,Олександрівна,Жіноча,13-05-1983,Випробувач,село Верхівцеве,"площа 11-та Лінія Марії Демченко, буд. 940 кв. 433, Гуляйполе, 94819",+380 36 874-32-58,vdovychenkoleontii@example.org
Петрик,Одарка,Дмитрівна,Жіноча,08-09-1957,Гірничий інженер,селище Бунге,"парк Ясна, буд. 034 кв. 771, Чугуїв, 49723",026 802 51 41,volodymyr61@example.com
Бабко,Єва,Володимирівна,Жіноча,14-06-1980,Живописець,село Балта,"вулиця Артезіанська, буд. 23, Мукачево, 24146",+380 (59) 333-94-46,savramchuk@example.org
Демʼянчук,Пріска,Ігорівна,Жіноча,16-05-1993,Соціолог,місто Звенигородка,"парк Кривобалківська, буд. 4 кв. 7, Пирятин, 35670",065 521 62 77,andriienkomarta@example.org
Романенко,Галина,Арсенівна,Жіноча,28-10-1945,Детектив,село Ржищів,"парк Індійська, буд. 0 кв. 0, Кам'янка-Бузька, 68121",025 456-26-27,wsirobaba@example.org
Худобʼяк,Христина,Володимирівна,Жіноча,25-03-1972,Дантист,селище Старокостянтинів,"парк Яблучна, буд. 23, Львів, 72950",+380 45 368 44 18,vadymvasylashko@example.net
Дейсун,Руслан,Ігорович,Чоловіча,28-11-1959,Акушер,селище Селидове,"проспект Заводська 4-та, буд. 0, Южноукраїнськ, 64892",899-10-63,shyloihnat@example.org
Бандурка,Нестор,Семенович,Чоловіча,14-07-1978,Хімік,село Любомль,"узвіз Ювілейний 1-й, буд. 872 кв. 1, Миронівка, 14243",081 073 14 90,ieva70@example.net
Дробʼязко,Святослава,Василівна,Жіноча,24-08-1941,Державний службовець,селище Баштанка,"узвіз В'ячеслава Липинського, буд. 7, Перемишляни, 77521",195 64 98,vadymcharnysh@example.net
Чубай,Вікторія,Ігорівна,Жіноча,30-12-1999,Футболіст,місто Глухів,"площа Віталія Гуляєва, буд. 5, Барвінкове, 65984",+380 43 881 21 36,prokhir11@example.com
Величко,Аркадій,Олегович,Чоловіча,15-03-1946,Співак,місто Кременчук,"набережна Лиманчик 2-й Лінія 4-та, буд. 174 кв. 065, Ялта, 84998",+380 (00) 376-44-14,gzhytskyiada@example.com
Гаврилів,Юхим,Романович,Чоловіча,06-12-1974,Підприємець,селище Южноукраїнськ,"узвіз Лінія 48-ма, буд. 878 кв. 4, Златопіль, 37865",+380 37 035-31-80,rvenhrynovych@example.net
Фоменко,Альберт,Олегович,Чоловіча,13-05-1976,Дипломат,селище Заводське,"узвіз Цесевича, буд. 962 кв. 536, Овруч, 17882",066 985-06-41,jvasylashko@example.org
Бездітко,Ярема,Юрійович,Чоловіча,29-01-1987,Географ,селище Городище,"узвіз Лобачевського, буд. 2, Суми, 42116",322-52-18,myrononufriienko@example.net
Ільєнко,Гліб,Дмитрович,Чоловіча,22-08-1982,Доцент,хутір Самар,"провулок Квітки-Основ’яненка, буд. 3, Перечин, 84010",+380 (91) 651-40-07,odarka43@example.net
Воблий,Соломія,Василівна,Жіноча,21-07-1983,Антрополог,хутір Буськ,"провулок Літня, буд. 08 кв. 45, Кремінна, 81714",+380 77 416 07 68,kamilla63@example.net
Юхименко,Григорій,Дмитрович,Чоловіча,25-05-1970,Кушнір,хутір Дрогобич,"парк Транспортна, буд. 6 кв. 18, Антрацит, 87347",066 18 52,goliashmyron@example.com
Забашта,Макар,Олександрович,Чоловіча,05-12-1941,Геолог,селище Біляївка,"узвіз Шевальових, буд. 25, Долинська, 80836",+380 68 324-74-36,anastasiiaokhrymovych@example.org
Терещук,Мартин,Юрійович,Чоловіча,20-01-2008,Різноробочий,місто Подільськ,"площа Водопровідний 3-й, буд. 29, Чорнобиль, 57490",099 506 68 15,deriazhnairyna@example.com
